"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"46","@Chris_RWS @bgegame @hitRECord Ack it is isn't it
This can't be  r e a l
I'm so happyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy",FALSE,5,"Chris_RWS",2018-12-11 02:59:08,FALSE,"1072284559008509952","1072324877372264448","1453396112","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JayhanOfficial",0,FALSE,FALSE,NA,NA
"47","Actors needed here: https://t.co/eI78ulyBDn",FALSE,95,NA,2018-12-11 02:21:01,FALSE,NA,"1072315284248240129",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",13,FALSE,FALSE,NA,NA
"48","A physical book: WHAT A GREAT IDEA!!! I love it! https://t.co/VgYEoelPxc",FALSE,2,NA,2018-12-11 02:12:50,FALSE,NA,"1072313226916974592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cjcurcio",0,FALSE,FALSE,NA,NA
"49","@hitRECord Would have loved if it was the same format as the Tiny Books, but that’s just my desire for uniformity o… https://t.co/6oo6Nf5gQ6",FALSE,1,"hitRECord",2018-12-11 01:35:15,TRUE,"1072279304187199489","1072303768564322304","24815314","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","tyroga",0,FALSE,FALSE,NA,NA
"50","Just signed up with HITRECORD! @hitRECordJoe. I'm very excited to get started and for this new opportunity and chan… https://t.co/1qIDpKSyGs",FALSE,0,NA,2018-12-11 00:54:09,TRUE,NA,"1072293425347612672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","APoncetta",0,FALSE,FALSE,NA,NA
"51","2 days left for this deal! Free shipping on all domestic orders over $50 on the entire RECord store!… https://t.co/B5vD7uJ6OD",FALSE,2,NA,2018-12-11 00:53:28,TRUE,NA,"1072293255268704258",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECord",0,FALSE,FALSE,NA,NA
"52","@JayhanOfficial @bgegame @hitRECord Jay this is so cool",FALSE,1,"JayhanOfficial",2018-12-11 00:18:55,FALSE,"1072247048546779136","1072284559008509952","1232157763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chris_RWS",0,FALSE,FALSE,NA,NA
"53","Serious question: why is this skull-faced monster holding a wisp? Reply here —&gt; https://t.co/CURn7ihZh4 https://t.co/vg1wRhbI3F",FALSE,140,NA,2018-12-11 00:01:03,FALSE,NA,"1072280060885954561",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",10,FALSE,FALSE,NA,NA
"54","@hitRECord Coolness",FALSE,1,"hitRECord",2018-12-11 00:00:15,FALSE,"1072279304187199489","1072279861803274241","24815314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dru_glen",0,FALSE,FALSE,NA,NA
"55","There's no replacement for a book w/ actual pages; something you can hold in your hands and put on your shelf. 

He… https://t.co/6nCaA5HQuW",FALSE,19,NA,2018-12-10 23:58:02,TRUE,NA,"1072279304187199489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECord",4,FALSE,FALSE,NA,NA
